_timestamp,loss,difficulty,reward_component/docking,_step,_runtime,samples/episode_outcomes,action_type/ADD_FRAGMENT,verifier/lipinski_pass_rate,reward_std,verifier/truncation_rate,episode/diversity_unique_pct,kl,min_reward,reward_component/sa,parse_rate,policy_loss,mean_reward,max_reward,step,episode/mean_length,verifier/invalid_action_rate,invalid_action_rate,verifier/parse_rate,reward_component/qed,grad_norm,n_transitions,reward_component/toxicity_clean
1777191944.3770952,0.01250440909837683,easy,0.02283616224690274,134,4332.109217552,,120.0,0.0,0.10507057464162654,1.0,0.75,0.3126107978944977,0.8573174822706837,0.9105135371379733,0.0,-2.0489096641540527e-08,1.0949282428563454,1.2529605263713293,128,15.0,0.0,0.0,0.0,0.31507482669025527,0.373046875,120.0,1.0
1777192003.6133573,0.013850925024598837,easy,0.015934331493197697,135,4391.34544249,,120.0,0.375,0.30971103127194294,1.0,0.75,0.34627255288263165,0.31940729915381105,0.9039699740792324,0.0,1.9868214925130207e-08,0.8367863633169323,1.2209817981270872,129,15.0,0.375,0.375,0.0,0.38068357161825955,0.439453125,120.0,1.0
1777192062.9555051,0.016500389327605565,easy,0.015367798397284058,136,4450.687453205,,120.0,0.375,0.3706954140934437,1.0,0.875,0.4125090459361672,0.2893165271214293,0.9187339282639824,0.0,2.8933087984720866e-08,0.7673725769254024,1.1195428709400899,130,15.0,0.375,0.375,0.0,0.35825895108016304,0.51953125,120.0,1.0
1777192123.3975976,0.01400310496489207,easy,0.01810872356026327,137,4511.129697497,,120.0,0.25,0.32291815319594913,1.0,0.875,0.3500772977247834,0.2893165271214293,0.9315001259908043,0.0,1.2169281641642252e-08,0.9581516545512075,1.2209817981270872,131,15.0,0.25,0.25,0.0,0.35795228069129525,0.69140625,120.0,1.0
1777192182.6903422,0.014271711806456248,easy,0.021742459270850598,138,4570.422418751,,120.0,0.0,0.11336957166107552,1.0,0.75,0.35679306779056785,1.0749965337303022,0.9110948939113197,0.0,-1.080334186553955e-08,1.1389459223333134,1.4351442487241153,132,15.0,0.0,0.0,0.0,0.32021394477996207,0.462890625,120.0,1.0
1777192245.131077,0.012768597117004295,easy,0.021554873561507933,139,4632.863120752,,120.0,0.0,0.1485063556093397,1.0,0.75,0.31921569214512907,0.8573174822706837,0.9128434412388767,0.0,-3.189391766985257e-08,1.1141662213844186,1.4351442487241153,133,15.0,0.0,0.0,0.0,0.31412863742148495,0.671875,120.0,1.0
1777192305.504713,0.013035643473267555,easy,0.019901833309158314,140,4693.236691576,,120.0,0.125,0.21892007367545901,1.0,0.75,0.3258904593996704,0.5356872260758478,0.9206990165332258,0.0,2.4338563283284505e-08,1.0051966268986972,1.2529605263713293,134,15.0,0.125,0.125,0.0,0.3304494778452041,0.48828125,120.0,1.0
1777192358.662201,0.01479324847459793,easy,0.01905283790950781,141,4746.394221319,,120.0,0.25,0.3571332984048182,1.0,0.75,0.3698315178975463,0.31940729915381105,0.8874903047935417,0.0,-1.0679165522257487e-08,0.9348117667653681,1.2209817981270872,135,15.0,0.25,0.25,0.0,0.3536061036177813,0.46484375,120.0,1.0
1777192419.478354,0.012248038748900096,easy,0.023392594001104387,142,4807.210412459,,120.0,0.0,0.1488914079200754,1.0,0.75,0.3062014451250434,0.8573174822706837,0.9101298163395163,0.0,-2.0364920298258464e-08,1.1231898168521726,1.4351442487241153,136,15.0,0.0,0.0,0.0,0.3158805543613627,0.2216796875,120.0,1.0
1777192481.4478214,0.011770207434892654,easy,0.021238010897610318,143,4869.179853499,,120.0,0.125,0.2993905359934414,1.0,0.875,0.2942543868596355,0.2893165271214293,0.9215823638250005,0.0,3.005067507425944e-08,0.9853941883101226,1.2529605263713293,137,15.0,0.125,0.125,0.0,0.3227713733536408,0.375,120.0,1.0
