_runtime,_timestamp,_wandb,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
7155.474140355,1777194767.2720385,True,1.0360115389421896,890.854907989502,3.1468736247839066,1.078125,19968.76318359375,,,,,,,,,,,,,2.951560278329004,55777989.0,39300614.0,280.0,1987514.49609375,0.11179620235707158,2289.54296875
7170.472817386,1777194782.2707155,True,,,,,,0.0,700.0,18.0,3.0,2.554670274255587,3851288576.0,3201.0,22.99542857142857,160.968,1980.0,46.0,0.0,,,,,,,
7170.474058957,1777194782.271957,True,1.0360175403774827,890.8571929931641,3.146881696376365,1.078125,19969.50537109375,,,,,,,,,,,,,2.9521107495440946,55801917.0,39325125.0,280.0,1987503.22265625,0.11179620235707158,2289.54296875
7185.47217055,1777194797.2700686,True,,,,,,0.0,700.0,30.0,4.0,2.554670274255587,3851288576.0,3201.0,23.132571428571428,161.928,1980.0,46.0,0.0,,,,,,,
7185.473750982,1777194797.271649,True,1.0360177671442545,890.8470916748047,3.146846014278152,1.078125,19970.72021484375,,,,,,,,,,,,,2.9514134097095934,55874384.0,39398352.0,280.0,1987517.50390625,0.11179620235707158,2289.54296875
7200.472596591,1777194812.2704947,True,,,,,,0.0,700.0,39.0,5.0,2.554670274255587,3851288576.0,3201.0,23.161428571428573,162.13,1980.0,46.0,0.0,,,,,,,
7200.47377522,1777194812.2716732,True,1.0360136450591622,890.8470802307129,3.146845973852814,1.078125,19971.50927734375,,,,,,,,,,,,,2.952006224864306,55981811.0,39509096.0,280.0,1987505.36328125,0.11179620235707158,2289.54296875
7215.472185046,1777194827.270083,True,,,,,,0.0,700.0,18.0,3.0,2.554670274255587,3851288576.0,3201.0,22.81957142857143,159.737,1980.0,46.0,0.0,,,,,,,
7215.473437429,1777194827.2713354,True,1.0360095777018705,890.8480911254883,3.146849544757658,1.078125,19972.58935546875,,,,,,,,,,,,,2.952624217496632,56069916.0,39597948.0,280.0,1987492.70703125,0.11179639309553835,2289.546875
7230.472807023,1777194842.270705,True,,,,,,0.0,700.0,40.0,5.0,2.554670274255587,3851288576.0,3201.0,23.29,163.03,1980.0,46.0,0.0,,,,,,,
7230.474068676,1777194842.2719667,True,1.0360125807770173,890.8480796813965,3.14684950433232,1.078125,19973.35107421875,,,,,,,,,,,,,2.9514019654015873,56112258.0,39640927.0,280.0,1987517.73828125,0.11179639309553835,2289.546875
7245.472479494,1777194857.2703774,True,,,,,,0.0,700.0,38.0,5.0,2.554670274255587,3851288576.0,3201.0,23.27042857142857,162.893,1980.0,46.0,0.0,,,,,,,
7245.47375012,1777194857.2716482,True,1.03600852635096,890.8471298217773,3.1468461490292783,1.078125,19974.1875,,,,,,,,,,,,,2.9510796173927503,56209821.0,39741708.0,280.0,1987524.33984375,0.11179639309553835,2289.546875
7260.472684521,1777194872.2705824,True,,,,,,0.0,700.0,39.0,5.0,2.554670274255587,3851288576.0,3201.0,23.489571428571427,164.427,1980.0,46.0,0.0,,,,,,,
7260.474284044,1777194872.272182,True,1.036008661822679,890.8492660522461,3.1468536950923442,1.078125,19974.75,,,,,,,,,,,,,2.9476631099760136,56300744.0,39830689.0,280.0,1987594.30859375,0.11179639309553835,2289.546875
7275.472202025,1777194887.2701,True,,,,,,0.0,700.0,18.0,3.0,2.554670274255587,3851288576.0,3201.0,22.942,160.594,1980.0,47.0,0.0,,,,,,,
7275.473858284,1777194887.2717562,True,1.0360117892578022,890.8531723022461,3.1468674936076657,1.078125,19975.53564453125,,,,,,,,,,,,,2.9495470338122747,56346599.0,39877186.0,280.0,1987555.7265625,0.11179963564947339,2289.61328125
7290.472458625,1777194902.2703567,True,,,,,,0.0,700.0,29.0,4.0,2.554670274255587,3851288576.0,3201.0,23.268857142857144,162.882,1980.0,46.0,0.0,,,,,,,
7290.474239865,1777194902.2721379,True,1.036011945212789,890.8531150817871,3.1468672914809757,1.078125,19976.28173828125,,,,,,,,,,,,,2.9499874489320406,56428172.0,39959457.0,280.0,1987546.70703125,0.11179963564947339,2289.61328125
7305.472542807,1777194917.2704408,True,,,,,,0.0,700.0,29.0,4.0,2.554670274255587,3851288576.0,3201.0,23.27785714285714,162.945,1980.0,46.0,0.0,,,,,,,
7305.473899335,1777194917.2717974,True,1.03600936075874,890.8526573181152,3.146865674467462,1.078125,19977.20947265625,,,,,,,,,,,,,2.951734613287629,56523983.0,40058686.0,280.0,1987510.92578125,0.11179963564947339,2289.61328125
7320.472096111,1777194932.269994,True,,,,,,0.0,700.0,18.0,3.0,2.554670274255587,3851288576.0,3201.0,23.337000000000003,163.359,1980.0,46.0,0.0,,,,,,,
7320.473610263,1777194932.2715082,True,1.0360053592722693,890.8531646728516,3.14686746665744,1.078125,19977.93212890625,,,,,,,,,,,,,2.948596393293906,56614355.0,40149841.0,280.0,1987575.1953125,0.11179963564947339,2289.61328125
7335.472936611,1777194947.2708347,True,,,,,,0.0,700.0,33.0,4.0,2.554670274255587,3851288576.0,3201.0,23.48542857142857,164.398,1980.0,46.0,0.0,,,,,,,
7335.474285393,1777194947.2721834,True,1.0360083059316305,890.8536720275879,3.1468692588474187,1.078125,19978.69873046875,,,,,,,,,,,,,2.9475788035737027,56653187.0,40189175.0,280.0,1987596.03515625,0.11179963564947339,2289.61328125
7350.472202949,1777194962.2701008,True,,,,,,0.0,700.0,35.0,5.0,2.554670274255587,3851288576.0,3201.0,23.301428571428573,163.11,1980.0,46.0,0.0,,,,,,,
7350.473453749,1777194962.2713518,True,1.0360044034317113,890.8537139892578,3.1468694070736567,1.078125,19979.35498046875,,,,,,,,,,,,,2.949695046862486,56751314.0,40290785.0,280.0,1987552.6953125,0.11179963564947339,2289.61328125
7365.472141487,1777194977.2700396,True,,,,,,0.0,700.0,37.0,5.0,2.554670274255587,3851288576.0,3201.0,23.31757142857143,163.223,1980.0,46.0,0.0,,,,,,,
