_runtime,_timestamp,_wandb,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.fanSpeed,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
855.442606441,1777179978.9197464,True,,,,,,,,,,,,,,4.2629460967953445,105.247314453125,2.975465479005739,0.53515625,12234.4130859375,8.308001181222615,5377380.0,1769681.0,64.0,175286.17578125,1.3361313945872837,2554.26171875
870.442148796,1777179993.9192889,True,0.0,300.0,0.0,60.0,38.0,30.040874153204793,7253852160.0,6251.0,51.100333333333325,153.301,1710.0,52.0,0.0,,,,,,,,,,,,
870.442636807,1777179993.919777,True,,,,,,,,,,,,,,4.260325438358567,105.24729537963867,2.975464939775827,0.53515625,12246.8759765625,8.2978967911236,5471028.0,1798892.0,64.0,175305.4921875,1.3361313945872837,2554.26171875
885.442669452,1777180008.9198093,True,0.0,300.0,0.0,59.0,45.0,30.040874153204793,7253852160.0,6251.0,49.863,149.589,1710.0,50.0,0.0,,,,,,,,,,,,
885.443234595,1777180008.9203746,True,,,,,,,,,,,,,,4.257879098811771,105.24777603149414,2.975478528369615,0.53515625,12247.0166015625,8.315028278806134,5584869.0,1837399.0,64.0,175272.7421875,1.3361313945872837,2554.26171875
900.442592689,1777180023.9197326,True,0.0,300.0,0.0,60.0,47.0,30.040874153204793,7253852160.0,6251.0,49.34366666666667,148.031,1710.0,50.0,0.0,,,,,,,,,,,,
900.442925956,1777180023.9200659,True,,,,,,,,,,,,,,4.255425899921694,105.24775695800781,2.9754779891397023,0.53515625,12247.14990234375,8.315063015839842,5698839.0,1873116.0,64.0,175272.67578125,1.3361313945872837,2554.26171875
915.44254959,1777180038.9196897,True,0.0,300.0,0.0,62.0,47.0,30.040874153204793,7253852160.0,6251.0,50.51733333333333,151.552,1710.0,51.0,0.0,,,,,,,,,,,,
915.443030231,1777180038.9201703,True,,,,,,,,,,,,,,4.253181069582191,105.24777603149414,2.975478528369615,0.53515625,12247.27099609375,8.322807331001675,5811149.0,1908826.0,64.0,175257.87109375,1.3361313945872837,2554.26171875
930.442738568,1777180053.9198785,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,51.522333333333336,154.567,1710.0,51.0,0.0,,,,,,,,,,,,
